"country","year","sum_emissions"
"OMN",2019,20512604.865800004
"OMN",2020,19087944.123800002
"OMN",2021,21118749.8724
"PAK",2015,4450688.5168
"PAK",2016,4418015.4702
"PAK",2017,4726458.1046
"PAK",2018,4740990.502
"PAK",2019,4469783.938999999
"PAK",2020,3942784.7116
"PAK",2021,3879553.6215999993
"PER",2015,8208110.809800001
"PER",2016,8519364.6813
"PER",2017,7958401.09402
"PER",2018,7206018.120379999
"PER",2019,7446233.825420001
"PER",2020,6939947.4648
"PER",2021,6741782.086
"PHL",2015,1228313.597
"PHL",2016,1361914.585
"PHL",2017,1321677.9254
"PHL",2018,1398001.977
"PHL",2019,1203092.534
"PHL",2020,1212527.4158
"PHL",2021,1027412.856
"PNG",2015,7831000.436
"PNG",2016,7979925.6082
"PNG",2017,8077227.29
"PNG",2018,7279786.092
"PNG",2019,8266527.424399999
"PNG",2020,8612482.337199999
"PNG",2021,7043957.696400001
"QAT",2015,61376386.142400004
"QAT",2016,61841141.9458
"QAT",2017,60960721.150199994
"QAT",2018,60772902.618400015
"QAT",2019,59616666.3182
"QAT",2020,60345333.9402
"QAT",2021,60146026.42
"RUS",2015,629825283.8344538
"RUS",2016,660909811.2303798
"RUS",2017,690211472.4916399
"RUS",2018,729124929.1046
"RUS",2019,739989616.7038597
"RUS",2020,696536223.0329999
"RUS",2021,757153650.3232
"SAU",2015,155210409.04540002
"SAU",2016,159470738.38
"SAU",2017,151517365.30260003
"SAU",2018,153473132.51760003
"SAU",2019,148030240.61920002
"SAU",2020,142995818.4126
"SAU",2021,140093462.9012
"SEN",2015,3502.862796
"SEN",2016,3248.972022
"SEN",2017,2875.700426
"SEN",2018,2104.35015
"SEN",2019,2745.867586
"SEN",2020,2493.81418
"SEN",2021,1445.634898
"SRB",2015,345790.40728000004
"SRB",2016,304369.4244
"SRB",2017,291094.18554
"SRB",2018,284298.44126
"SRB",2019,271997.33614
"SRB",2020,269895.64966
"SRB",2021,264619.239
"SSD",2015,3328674.4432200002
"SSD",2016,3343094.80762
"SSD",2017,3276630.4145799996
"SSD",2018,3157807.50894
"SSD",2019,3363534.9625000004
"SSD",2020,3452934.3460999997
"SSD",2021,3011294.61104
"SUR",2015,346339.3022
"SUR",2016,342601.9162
"SUR",2017,341328.7444
"SUR",2018,347795.0152
"SUR",2019,351347.2834
"SUR",2020,354996.3254
"SUR",2021,360307.3658
"SVN",2017,1967.5542704
"SVN",2018,3741.192922
"SVN",2019,1010.87325
"SVN",2020,624.1739894
"SVN",2021,515.9700038
"TCD",2015,1409185.0004
"TCD",2016,1343283.1182
"TCD",2017,1268876.9444
"TCD",2018,1728905.1367400002
"TCD",2019,1668378.9728
"TCD",2020,1763832.2777999998
"TCD",2021,1624336.5559999999
"THA",2015,24180236.171
"THA",2016,23949818.092
"THA",2017,23179678.776399996
"THA",2018,20890700.3198
"THA",2019,21863577.677799996
"THA",2020,20705209.905
"THA",2021,22541459.014200002
"TKM",2015,61948313.502000004
"TKM",2016,63227257.194
"TKM",2017,61808042.86599999
"TKM",2018,65707493.394
"TKM",2019,70014353.34
"TKM",2020,75131316.102
"TKM",2021,81195256.418
"TLS",2015,3920194.324
"TLS",2016,3716480.802
"TLS",2017,3291966.172
"TLS",2018,3103639.526
"TLS",2019,2985398.194
"TLS",2020,2838600.796
"TLS",2021,2932434.85
"TTO",2015,6976921.926799999
"TTO",2016,5876577.44464
"TTO",2017,5788823.4484
"TTO",2018,5987517.986
"TTO",2019,5457218.1568
"TTO",2020,4453335.243
"TTO",2021,3624432.4277999997
"TUN",2015,1053026.2618800001
"TUN",2016,939629.74258
"TUN",2017,821687.9783799999
"TUN",2018,684418.7652019999
"TUN",2019,474020.4442968
"TUN",2020,588147.80374
"TUN",2021,407448.37951999996
"TZA",2015,252337.8925
"TZA",2016,293084.76712
"TZA",2017,309499.11204
"TZA",2018,369381.20754
"TZA",2019,413102.69988000003
"TZA",2020,385083.20698
"TZA",2021,429045.06976
"UKR",2015,1655088.8571400002
"UKR",2016,1994162.1711999997
"UKR",2017,2114443.2384
"UKR",2018,2205285.8464
"UKR",2019,2042047.0797199998
"UKR",2020,2094887.0476
"UKR",2021,1871073.5554000002
"USA",2015,580816274.7653875
"USA",2016,563439232.6194321
"USA",2017,594561284.764336
"USA",2018,694883574.5968779
"USA",2019,785370813.9785239
"USA",2020,754672027.497476
"USA",2021,754696044.3466318
"UZB",2015,15371589.696
"UZB",2016,16689240.5092
"UZB",2017,11361680.0144
"UZB",2018,11745317.8006
"UZB",2019,15749794.61
"UZB",2020,10463461.439599998
"UZB",2021,11431259.762200002
"VEN",2015,120408670.21000001
"VEN",2016,116076569.6028
"VEN",2017,102037110.57000001
"VEN",2018,85068082.29800001
"VEN",2019,64686648.146400005
"VEN",2020,42269038.13860001
"VEN",2021,39792934.68799999
"VNM",2015,4100120.6556
"VNM",2016,3644466.5670000003
"VNM",2017,4095908.2729999996
"VNM",2018,3755024.6492
"VNM",2019,3549261.2020000005
"VNM",2020,3349212.6696
"VNM",2021,2968763.8562
"YEM",2015,198644.50458
"YEM",2018,329152.4402
"YEM",2019,677727.9736
"YEM",2020,639293.584
"YEM",2021,325060.6094
